Date,Name,Year,Letterboxd URI
2023-08-31,Interstellar,2014,https://boxd.it/4VZ8
2023-08-31,Little Women,2019,https://boxd.it/aSVk
2023-08-31,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2023-08-31,Inception,2010,https://boxd.it/1skk
2023-08-31,GoodFellas,1990,https://boxd.it/29FA
2023-08-31,Black Swan,2010,https://boxd.it/Sw0
2023-08-31,The Empire Strikes Back,1980,https://boxd.it/27Vw
2023-08-31,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2023-08-31,Blade Runner,1982,https://boxd.it/2bcA
2023-08-31,Amélie,2001,https://boxd.it/2aUc
2023-08-31,Se7en,1995,https://boxd.it/29zs
2023-08-31,The Thing,1982,https://boxd.it/294O
2023-08-31,The Silence of the Lambs,1991,https://boxd.it/2aHW
2023-08-31,The Social Network,2010,https://boxd.it/17ue
2023-08-31,The Matrix,1999,https://boxd.it/2a1m
2023-08-31,Perfect Blue,1997,https://boxd.it/1W7A
2023-08-31,No Country for Old Men,2007,https://boxd.it/21ew
2023-08-31,Apocalypse Now,1979,https://boxd.it/6ZS
2023-08-31,Oppenheimer,2023,https://boxd.it/wUow
2023-08-31,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2023-08-31,Akira,1988,https://boxd.it/2b1i
2023-08-31,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2025-02-20,The Lighthouse,2019,https://boxd.it/icFU
2025-02-21,Arrival,2016,https://boxd.it/aNGk
2025-02-22,Brainstorm,2000,https://boxd.it/vlo
2025-02-22,The Man from the Future,2011,https://boxd.it/2vkO
2025-02-22,Rope,1948,https://boxd.it/28yo
2025-02-22,Primer,2004,https://boxd.it/6YA
2025-02-22,Adaptation.,2002,https://boxd.it/26mA
2025-02-22,Mallrats,1995,https://boxd.it/26ZW
2025-02-22,O Ódio,2021,https://boxd.it/wAcA
2025-02-22,The Purple Rose of Cairo,1985,https://boxd.it/1VeU
2025-02-22,Redline,2009,https://boxd.it/2pQ0
2025-02-22,Take the Lead,2006,https://boxd.it/1Ri4
2025-02-22,Miss March,2009,https://boxd.it/1EVM
2025-02-22,12 Angry Men,1957,https://boxd.it/2auI
2025-02-22,Submarine,2010,https://boxd.it/H4a
2025-02-22,A Bronx Tale,1993,https://boxd.it/28uQ
2025-02-22,The Search for One-eye Jimmy,1994,https://boxd.it/2g0O
2025-02-22,Big Fish,2003,https://boxd.it/2a3M
2025-02-22,Burn After Reading,2008,https://boxd.it/23BW
2025-02-22,The Family,2013,https://boxd.it/3LkW
2025-02-22,Guess Who,2005,https://boxd.it/1Tmi
2025-02-22,"Dude, Where's My Car?",2000,https://boxd.it/1ZJi
2025-02-22,Guess Who's Coming to Dinner,1967,https://boxd.it/27Xi
2025-02-22,Memento,2000,https://boxd.it/2bcK
2025-02-22,Sorry to Bother You,2018,https://boxd.it/f21E
2025-02-22,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8
2025-02-22,Boyhood,2014,https://boxd.it/3178
2025-02-22,Lord of War,2005,https://boxd.it/284y
2025-02-22,Monkey Man,2024,https://boxd.it/kvsO
2025-02-22,Boy Kills World,2023,https://boxd.it/xhG4
2025-12-09,Last Night in Soho,2021,https://boxd.it/lbJC
2025-12-09,Four Rooms,1995,https://boxd.it/73g
2025-12-09,Sleeping Dogs,1977,https://boxd.it/180u
2025-12-09,In the Mouth of Madness,1994,https://boxd.it/26vi
2025-12-09,Isle of Dogs,2018,https://boxd.it/dZrW
2025-12-09,The Last Temptation of Christ,1988,https://boxd.it/1ULe
2025-12-09,Sister Act,1992,https://boxd.it/27EA
2025-12-09,Bugsy,1991,https://boxd.it/1WvC
2025-12-09,Raging Bull,1980,https://boxd.it/28yI
2025-12-09,After Hours,1985,https://boxd.it/1VfS
2025-12-09,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2025-12-09,The King of Comedy,1982,https://boxd.it/2aJS
2025-12-09,The Departed,2006,https://boxd.it/28MA
2025-12-09,Casino,1995,https://boxd.it/2ads
2025-12-09,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-12-09,The Stand,1994,https://boxd.it/1PZU
2025-12-09,Apt Pupil,1998,https://boxd.it/1YFa
2025-12-09,No Smoking,2007,https://boxd.it/1b5W
2025-12-09,11.22.63,2016,https://boxd.it/bFV4
2025-12-09,Cujo,1983,https://boxd.it/1W8o
2025-12-09,The Usual Suspects,1995,https://boxd.it/29XE
2025-12-09,Secret Window,2004,https://boxd.it/28xq
2025-12-09,Christine,1983,https://boxd.it/1ZRQ
2025-12-09,It,1990,https://boxd.it/26tG
2025-12-09,1408,2007,https://boxd.it/25Vu
2025-12-09,The Fly,1986,https://boxd.it/1YIe
2025-12-09,Videodrome,1983,https://boxd.it/29uC
2025-12-09,A History of Violence,2005,https://boxd.it/2bfa
2025-12-09,Gerald's Game,2017,https://boxd.it/buKa
2025-12-09,The Life of Chuck,2024,https://boxd.it/vMTu
2025-12-09,What Dreams May Come,1998,https://boxd.it/1SoM
2025-12-09,The Mist,2007,https://boxd.it/22r2
2025-12-09,Good Will Hunting,1997,https://boxd.it/2ahY
2025-12-09,Carrie,1976,https://boxd.it/20ZQ
2025-12-09,The Green Mile,1999,https://boxd.it/2agG
2025-12-09,Stand by Me,1986,https://boxd.it/2aOe
2025-12-09,Jacob's Ladder,1990,https://boxd.it/270g
2025-12-09,The Shining,1997,https://boxd.it/3AKk
2025-12-09,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2025-12-09,Patch Adams,1998,https://boxd.it/1Wzk
2025-12-09,Jack,1996,https://boxd.it/21au
2025-12-09,Mrs. Doubtfire,1993,https://boxd.it/29Cw
2025-12-09,Jaws,1975,https://boxd.it/2a5e
2025-12-09,The Fabelmans,2022,https://boxd.it/ugoM
2025-12-09,Minority Report,2002,https://boxd.it/2aWi
2025-12-09,Amistad,1997,https://boxd.it/1SZ4
2025-12-09,Castello Cavalcanti,2013,https://boxd.it/6WlM
